Category-en,Category-zh
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts,[{'translation_text': 'zheng 玩具游戏趣味远程应用程序控制车辆零部件'}]
Toys Games Learning Education,[{'translation_text': 'zhys 玩具游戏学习教育'}]
Toys Games Kids' Electronics Electronic Learning Toys,[{'translation_text': 'zhys 玩具 儿童电子电子学习玩具'}]
"Clothing, Shoes Jewelry Novelty More Clothing Novelty Men Shirts T-Shirts",[{'translation_text': 'zheng 衣服鞋珠宝新奇更多衣服新奇男士衫衫'}]
Toys Games Hobbies Hobby Building Tools Hardware Paints,[{'translation_text': 'zhys 玩具游戏趣味趣味建材工具硬件涂料'}]
Toys Games Arts Crafts,[{'translation_text': 'zhys 玩具游戏艺术工艺'}]
Toys Games Games Accessories Card Games,[{'translation_text': 'zhys 玩具游戏配件卡游戏'}]
Toys Games Dress Up Pretend Play Pretend Play Kitchen Toys,[{'translation_text': 'zheng 玩具游戏穿衣服假装播放假装播放厨房玩具'}]
Toys Games Dolls Accessories Dolls,[{'translation_text': 'zhys 玩具游戏娃娃配件娃娃'}]
Toys Games Kids' Electronics Electronic Learning Toys,[{'translation_text': 'zhys 玩具 儿童电子电子学习玩具'}]
Toys Games Games Accessories,[{'translation_text': 'zhys 玩具游戏配件'}]
"Clothing, Shoes Jewelry Men Accessories Wallets, Card Cases Money Organizers Wallets",[{'translation_text': 'zheng 衣服鞋珠宝男装配件钱包卡套钱包组织者'}]
Toys Games Toy Figures Playsets Action Figures,[{'translation_text': 'zheng 玩具游戏玩具图片 玩具行动图片'}]
Toys Games Baby Toddler Toys,[{'translation_text': 'zhys 玩具游戏婴儿玩具'}]
Toys Games Baby Toddler Toys Sorting Stacking Toys,[{'translation_text': 'zhys 玩具游戏婴儿玩具排序堆叠玩具'}]
"Toys Games Collectible Toys Statues, Bobbleheads Busts Statues",[{'translation_text': 'zheng 游戏收藏玩具雕像'}]
"Clothing, Shoes Jewelry Costumes Accessories Women Wigs",[{'translation_text': 'zheng 衣服鞋珠宝服装配件女毛套'}]
Toys Games Toy Figures Playsets Action Figures,[{'translation_text': 'zheng 玩具游戏玩具图片 玩具行动图片'}]
Toys Games Toy Figures Playsets Action Figures,[{'translation_text': 'zheng 玩具游戏玩具图片 玩具行动图片'}]
Toys Games Stuffed Animals Plush Toys Stuffed Animals Teddy Bears,[{'translation_text': 'zheng 玩具 玩具 玩具 色动物 插头玩具 色动物 泰迪熊'}]
Toys Games Dolls Accessories Dolls,[{'translation_text': 'zhys 玩具游戏娃娃配件娃娃'}]
Toys Games Dolls Accessories Playsets,[{'translation_text': 'zhys 玩具游戏娃娃配件播放套'}]
Toys Games Stuffed Animals Plush Toys Stuffed Animals Teddy Bears,[{'translation_text': 'zheng 玩具 玩具 玩具 色动物 插头玩具 色动物 泰迪熊'}]
Toys Games Novelty Gag Toys Miniatures,[{'translation_text': 'zheng 玩具游戏小说'}]
Toys Games Stuffed Animals Plush Toys Plush Puppets,[{'translation_text': 'zhys 玩具 玩具 色动物 玩具 玩具 玩具'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts Wheels Tires Tires,[{'translation_text': 'zheng 玩具游戏趣味远程应用程序控制车辆零部件控制车辆零部件轮胎轮胎轮胎'}]
Home Kitchen Home decor Kids' Room decor Wall decor,[{'translation_text': 'zheng 家居厨房家居装修儿童房间装修墙壁装修'}]
Toys Games Stuffed Animals Plush Toys Plush Figures,[{'translation_text': 'zhys 玩具 玩具 色动物 插曲玩具 插曲图'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts Power Plant Driveline Systems Axles,[{'translation_text': 'zheng 玩具游戏趣味远程应用程序控制车辆零部件控制车辆零部件电力站驱动系统轮'}]
Sports Outdoors Sports Fitness Team Sports Volleyball Volleyballs Outdoor Volleyballs,[{'translation_text': 'zheng 运动户外体育健身团队体育排球排球排球户外排球'}]
Toys Games Toy Figures Playsets Playsets Vehicles Playsets,[{'translation_text': 'zhys 玩具游戏玩具图像玩具玩具玩具玩具车辆玩具玩具'}]
Toys Games Arts Crafts Clay Dough,[{'translation_text': 'zhys 玩具游戏艺术工艺陶'}]
Toys Games Games Accessories Board Games,[{'translation_text': 'zhys 玩具游戏配件棋牌游戏'}]
Toys Games Stuffed Animals Plush Toys Plush Figures,[{'translation_text': 'zhys 玩具 玩具 色动物 插曲玩具 插曲图'}]
Toys Games Games Accessories Game Accessories Standard Game Dice,[{'translation_text': 'zheng 玩具游戏配件游戏配件标准游戏子'}]
Toys Games Kids' Electronics,[{'translation_text': 'zhys 玩具游戏儿童电子'}]
Toys Games Dolls Accessories Dolls,[{'translation_text': 'zhys 玩具游戏娃娃配件娃娃'}]
Sports Outdoors Fan Shop Toys Game Room Games,[{'translation_text': 'zheng 运动户外粉丝店玩具游戏室游戏'}]
Toys Games Dress Up Pretend Play Pretend Play Kitchen Toys Play Food,[{'translation_text': 'zheng 玩具 游戏穿衣服假装播放假装播放厨房玩具播放食物'}]
Toys Games Party Supplies Banners,[{'translation_text': 'zheng 玩具游戏派对供应标'}]
Toys Games Baby Toddler Toys,[{'translation_text': 'zhys 玩具游戏婴儿玩具'}]
Toys Games Hobbies Trains Accessories Train Cars,[{'translation_text': 'zhys 玩具 游戏趣味火车配件火车车'}]
Toys Games Games Accessories Card Games Standard Playing Card Decks,[{'translation_text': 'zheng 玩具游戏配件卡游戏标准播放卡箱'}]
Toys Games Stuffed Animals Plush Toys,[{'translation_text': 'zhys 玩具 玩具 色动物'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts,[{'translation_text': 'zheng 玩具游戏趣味远程应用程序控制车辆零部件'}]
Toys Games Kids' Electronics,[{'translation_text': 'zhys 玩具游戏儿童电子'}]
Toys Games Games Accessories Card Games Standard Playing Card Decks,[{'translation_text': 'zheng 玩具游戏配件卡游戏标准播放卡箱'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicles Quadcopters Multirotors,[{'translation_text': 'zheng 玩具游戏趣味远程应用程序控制车辆零件远程应用程序控制车辆四旋翼多轮机器人'}]
"Arts, Crafts Sewing Crafting Paper Paper Crafts Paper Craft Tools",[{'translation_text': 'zheng 艺术工艺 工艺纸纸工艺纸工艺工具'}]
Toys Games Building Toys,[{'translation_text': 'zheng 玩具 游戏建物玩具'}]
Toys Games Party Supplies,[{'translation_text': 'zheng 玩具游戏派对用品'}]
"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Girls Costumes",[{'translation_text': 'zh 衣服鞋珠宝服装配件儿童婴儿女服装'}]
Toys Games Learning Education Science Kits Toys,[{'translation_text': 'zhys 玩具 游戏学习教育科学工具包玩具'}]
Toys Games Dolls Accessories Dolls,[{'translation_text': 'zhys 玩具游戏娃娃配件娃娃'}]
Toys Games Sports Outdoor Play Play Sets Playground Equipment,[{'translation_text': 'zheng 玩具 游戏 体育户外播放播放播放场设备'}]
Toys Games Stuffed Animals Plush Toys Plush Pillows,[{'translation_text': 'zhys 玩具 玩具 色动物 插头玩具插头枕头'}]
