Category-en,Category-zh
Baby Products Nursery decor Window Treatments Valances,[{'generated_text': 'en 五金/装修 工具 刀/刀'}]
Toys Games Building Toys Building Sets,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Arts Crafts Craft Kits,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Baby Toddler Toys Musical Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Learning Education Flash Cards,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Home Kitchen Furniture Kids' Furniture Tables Chairs Tables,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Novelty Gag Toys Money Banks,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Baby Toddler Toys Musical Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Sports Outdoor Play Slumber Bags,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Hobbies Hobby Building Tools Hardware RC Linkages,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Building Toys Building Sets,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Party Supplies Party Tableware Plates,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Baby Toddler Toys Teaching Clocks,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
"Toys Games Tricycles, Scooters Wagons Balance Bikes",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Kids' Electronics,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Home Kitchen Home decor Kids' Room decor,[{'generated_text': 'en 五金/装修 工具 工具 刀/刀'}]
Baby Products Nursery decor Wall decor Growth Charts,[{'generated_text': 'en 五金/装修 工具 刀/刀 刀/刀'}]
Toys Games Puzzles Jigsaw Puzzles,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Sports Outdoors Sports Fitness Team Sports,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Dress Up Pretend Play Costumes,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Home Kitchen Bedding Kids' Bedding Comforters Sets Comforter Sets,[{'generated_text': 'en 五金/装修 工具 刀/刀'}]
Toys Games Toy Figures Playsets Action Figures,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Boys Costumes",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储设备 存储存储设备 存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存'}]
Toys Games Play Vehicles,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Novelty Gag Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Party Supplies,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Party Supplies Banners,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Dolls Accessories Doll Accessories,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Arts Crafts Craft Kits,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Games Accessories,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Hobbies Trains Accessories Train Cars Freight Cars Gondolas,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Home Kitchen Bedding Kids' Bedding Blankets Throws Throws,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Pet Supplies Dogs Training Behavior Aids Agility Equipment Tunnels,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Dolls Accessories Dolls,[{'generated_text': 'en 五金/装修 工具 刀/刀'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Learning Education,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Kids' Electronics Electronic Learning Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
"Clothing, Shoes Jewelry Novelty More Clothing Novelty Men Shirts T-Shirts",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存'}]
Toys Games Hobbies Hobby Building Tools Hardware Paints,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Arts Crafts,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Games Accessories Card Games,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Dress Up Pretend Play Pretend Play Kitchen Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Dolls Accessories Dolls,[{'generated_text': 'en 五金/装修 工具 刀/刀'}]
Toys Games Kids' Electronics Electronic Learning Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Games Accessories,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
"Clothing, Shoes Jewelry Men Accessories Wallets, Card Cases Money Organizers Wallets",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Toy Figures Playsets Action Figures,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Baby Toddler Toys,[{'generated_text': 'en 五金/装修 工具 刀/刀 刀/刀'}]
Toys Games Baby Toddler Toys Sorting Stacking Toys,[{'generated_text': 'en 五金/装修 工具 刀/刀 刀/刀'}]
"Toys Games Collectible Toys Statues, Bobbleheads Busts Statues",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储设备 存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存'}]
"Clothing, Shoes Jewelry Costumes Accessories Women Wigs",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储设备 存储存储设备 存储设备 存储存储设备 存储设备 存储存储设备 存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储存储存储存储存储存储存储存储存'}]
Toys Games Toy Figures Playsets Action Figures,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Toy Figures Playsets Action Figures,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Stuffed Animals Plush Toys Stuffed Animals Teddy Bears,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Dolls Accessories Dolls,[{'generated_text': 'en 五金/装修 工具 刀/刀'}]
Toys Games Dolls Accessories Playsets,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Stuffed Animals Plush Toys Stuffed Animals Teddy Bears,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Novelty Gag Toys Miniatures,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Stuffed Animals Plush Toys Plush Puppets,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts Wheels Tires Tires,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备'}]
Home Kitchen Home decor Kids' Room decor Wall decor,[{'generated_text': 'en 五金/装修 工具 工具 刀/刀'}]
Toys Games Stuffed Animals Plush Toys Plush Figures,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts Power Plant Driveline Systems Axles,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Sports Outdoors Sports Fitness Team Sports Volleyball Volleyballs Outdoor Volleyballs,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Toy Figures Playsets Playsets Vehicles Playsets,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Arts Crafts Clay Dough,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Games Accessories Board Games,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Stuffed Animals Plush Toys Plush Figures,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Games Accessories Game Accessories Standard Game Dice,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Kids' Electronics,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Dolls Accessories Dolls,[{'generated_text': 'en 五金/装修 工具 刀/刀'}]
Sports Outdoors Fan Shop Toys Game Room Games,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Dress Up Pretend Play Pretend Play Kitchen Toys Play Food,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Party Supplies Banners,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Baby Toddler Toys,[{'generated_text': 'en 五金/装修 工具 刀/刀 刀/刀'}]
Toys Games Hobbies Trains Accessories Train Cars,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Games Accessories Card Games Standard Playing Card Decks,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Stuffed Animals Plush Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Kids' Electronics,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Games Accessories Card Games Standard Playing Card Decks,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicles Quadcopters Multirotors,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备'}]
"Arts, Crafts Sewing Crafting Paper Paper Crafts Paper Craft Tools",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存'}]
Toys Games Building Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Party Supplies,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Girls Costumes",[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储设备 存储存储设备 存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储设备 存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存储存'}]
Toys Games Learning Education Science Kits Toys,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
Toys Games Dolls Accessories Dolls,[{'generated_text': 'en 五金/装修 工具 刀/刀'}]
Toys Games Sports Outdoor Play Play Sets Playground Equipment,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备'}]
Toys Games Stuffed Animals Plush Toys Plush Pillows,[{'generated_text': 'en 电子产品 计算机/电脑 电脑组件 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储设备 存储存储存器'}]
