,Category-en,Category-zh
36,Toys Games Party Supplies Banners,[{'translation_text': 'zh 电子产品 '}]
37,Toys Games Dolls Accessories Doll Accessories,[{'translation_text': 'zh 五金/装修 '}]
38,Toys Games Arts Crafts Craft Kits,[{'translation_text': 'zh 五金/装修 '}]
39,Toys Games Games Accessories,[{'translation_text': 'zh 五金/装修 '}]
40,Toys Games Hobbies Trains Accessories Train Cars Freight Cars Gondolas,[{'translation_text': 'zh 电子产品 '}]
41,Home Kitchen Bedding Kids' Bedding Blankets Throws Throws,[{'translation_text': 'zh 电子产品 '}]
42,Pet Supplies Dogs Training Behavior Aids Agility Equipment Tunnels,[{'translation_text': 'zh 电子产品 '}]
43,Toys Games Dolls Accessories Dolls,[{'translation_text': 'zh 五金/装修 '}]
44,Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts,[{'translation_text': 'zh 电子产品 '}]
45,Toys Games Learning Education,[{'translation_text': 'zh 电子产品 '}]
46,Toys Games Kids' Electronics Electronic Learning Toys,[{'translation_text': 'zh 电子产品 '}]
47,"Clothing, Shoes Jewelry Novelty More Clothing Novelty Men Shirts T-Shirts",[{'translation_text': 'zh 服饰 服饰 '}]
48,Toys Games Hobbies Hobby Building Tools Hardware Paints,[{'translation_text': 'zh 五金/装修 '}]
49,Toys Games Arts Crafts,[{'translation_text': 'zh 五金/装修 '}]
50,Toys Games Games Accessories Card Games,[{'translation_text': 'zh 五金/装修 '}]
51,Toys Games Dress Up Pretend Play Pretend Play Kitchen Toys,[{'translation_text': 'zh 电子产品 '}]
52,Toys Games Dolls Accessories Dolls,[{'translation_text': 'zh 五金/装修 '}]
53,Toys Games Kids' Electronics Electronic Learning Toys,[{'translation_text': 'zh 电子产品 '}]
54,Toys Games Games Accessories,[{'translation_text': 'zh 五金/装修 '}]
55,"Clothing, Shoes Jewelry Men Accessories Wallets, Card Cases Money Organizers Wallets",[{'translation_text': 'zh 电子产品 '}]
56,Toys Games Toy Figures Playsets Action Figures,[{'translation_text': 'zh 五金/装修 '}]
57,Toys Games Baby Toddler Toys,[{'translation_text': 'zh 五金/装修 '}]
58,Toys Games Baby Toddler Toys Sorting Stacking Toys,[{'translation_text': 'zh 五金/装修 '}]
59,"Toys Games Collectible Toys Statues, Bobbleheads Busts Statues",[{'translation_text': 'zh 五金/装修 '}]
60,"Clothing, Shoes Jewelry Costumes Accessories Women Wigs",[{'translation_text': 'zh 服饰 '}]
61,Toys Games Toy Figures Playsets Action Figures,[{'translation_text': 'zh 五金/装修 '}]
62,Toys Games Toy Figures Playsets Action Figures,[{'translation_text': 'zh 五金/装修 '}]
63,Toys Games Stuffed Animals Plush Toys Stuffed Animals Teddy Bears,[{'translation_text': 'zh 五金/装修 '}]
64,Toys Games Dolls Accessories Dolls,[{'translation_text': 'zh 五金/装修 '}]
65,Toys Games Dolls Accessories Playsets,[{'translation_text': 'zh 五金/装修 '}]
66,Toys Games Stuffed Animals Plush Toys Stuffed Animals Teddy Bears,[{'translation_text': 'zh 五金/装修 '}]
67,Toys Games Novelty Gag Toys Miniatures,[{'translation_text': 'zh 五金/装修 '}]
68,Toys Games Stuffed Animals Plush Toys Plush Puppets,[{'translation_text': 'zh 五金/装修 '}]
69,Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts Wheels Tires Tires,[{'translation_text': 'zh 电子产品 电子产品 '}]
70,Home Kitchen Home decor Kids' Room decor Wall decor,[{'translation_text': 'zh 办公用品 '}]
71,Toys Games Stuffed Animals Plush Toys Plush Figures,[{'translation_text': 'zh 五金/装修 '}]
72,Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts Power Plant Driveline Systems Axles,[{'translation_text': 'zh 电子产品 '}]
73,Sports Outdoors Sports Fitness Team Sports Volleyball Volleyballs Outdoor Volleyballs,[{'translation_text': 'zh 电子产品 电子产品 '}]
74,Toys Games Toy Figures Playsets Playsets Vehicles Playsets,[{'translation_text': 'zh 五金/装修 '}]
75,Toys Games Arts Crafts Clay Dough,[{'translation_text': 'zh 电子产品 '}]
76,Toys Games Games Accessories Board Games,[{'translation_text': 'zh 五金/装修 '}]
77,Toys Games Stuffed Animals Plush Toys Plush Figures,[{'translation_text': 'zh 五金/装修 '}]
78,Toys Games Games Accessories Game Accessories Standard Game Dice,[{'translation_text': 'zh 电子产品 '}]
79,Toys Games Kids' Electronics,[{'translation_text': 'zh 五金/装修 '}]
80,Toys Games Dolls Accessories Dolls,[{'translation_text': 'zh 五金/装修 '}]
81,Sports Outdoors Fan Shop Toys Game Room Games,[{'translation_text': 'zh 电子产品 '}]
82,Toys Games Dress Up Pretend Play Pretend Play Kitchen Toys Play Food,[{'translation_text': 'zh 电子产品 '}]
83,Toys Games Party Supplies Banners,[{'translation_text': 'zh 电子产品 '}]
84,Toys Games Baby Toddler Toys,[{'translation_text': 'zh 五金/装修 '}]
85,Toys Games Hobbies Trains Accessories Train Cars,[{'translation_text': 'zh 电子产品 '}]
86,Toys Games Games Accessories Card Games Standard Playing Card Decks,[{'translation_text': 'zh 电子产品 '}]
87,Toys Games Stuffed Animals Plush Toys,[{'translation_text': 'zh 五金/装修 '}]
88,Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicle Parts,[{'translation_text': 'zh 电子产品 '}]
89,Toys Games Kids' Electronics,[{'translation_text': 'zh 五金/装修 '}]
90,Toys Games Games Accessories Card Games Standard Playing Card Decks,[{'translation_text': 'zh 电子产品 '}]
91,Toys Games Hobbies Remote App Controlled Vehicles Parts Remote App Controlled Vehicles Quadcopters Multirotors,[{'translation_text': 'zh 电子产品 '}]
92,"Arts, Crafts Sewing Crafting Paper Paper Crafts Paper Craft Tools",[{'translation_text': 'zh 电子产品 '}]
93,Toys Games Building Toys,[{'translation_text': 'zh 五金/装修 '}]
94,Toys Games Party Supplies,[{'translation_text': 'zh 电子产品 '}]
95,"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Girls Costumes",[{'translation_text': 'zh 服饰 '}]
96,Toys Games Learning Education Science Kits Toys,[{'translation_text': 'zh 五金/装修 '}]
97,Toys Games Dolls Accessories Dolls,[{'translation_text': 'zh 五金/装修 '}]
98,Toys Games Sports Outdoor Play Play Sets Playground Equipment,[{'translation_text': 'zh 电子产品 '}]
99,Toys Games Stuffed Animals Plush Toys Plush Pillows,[{'translation_text': 'zh 五金/装修 '}]
